Year,Month,Day,Period,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018,10,28,15,2018-10-28 15:00:00,10225.609375,1405.874267578125,2752.34228515625,887.6846923828125,10511.947265625,5640.55712890625,2857.4169921875,1068.4349365234377
2018,10,28,16,2018-10-28 16:00:00,10794.05859375,1437.9783935546875,2777.632080078125,892.9348754882812,10861.25,5778.68310546875,3017.00537109375,1079.2364501953123
2018,10,28,17,2018-10-28 17:00:00,11137.474609375,1538.3531494140625,2824.569091796875,901.1547241210938,11644.900390625,5956.92822265625,3191.09814453125,1125.862548828125
2018,10,28,18,2018-10-28 18:00:00,11950.197265625,1630.9857177734375,2839.175537109375,934.8388061523438,12545.2373046875,6132.43310546875,3241.8115234375,1094.0440673828123
2018,10,28,19,2018-10-28 19:00:00,11814.9775390625,1710.2049560546875,2866.904052734375,938.6425170898438,13123.166015625,6438.60400390625,3445.856201171875,1175.15869140625
2018,10,28,20,2018-10-28 20:00:00,12073.537109375,1677.981201171875,2864.460693359375,909.03125,13283.9345703125,6841.37158203125,3561.43896484375,1187.9588623046875
2018,10,28,21,2018-10-28 21:00:00,12255.44921875,1755.8170166015625,2844.302001953125,920.0608520507812,13117.9677734375,6844.54150390625,3386.740234375,1209.2762451171875
2018,10,28,22,2018-10-28 22:00:00,11614.6962890625,1644.6680908203125,2878.46630859375,902.421875,12627.1728515625,6762.7548828125,3344.04736328125,1260.53564453125
2018,10,28,23,2018-10-28 23:00:00,11727.6572265625,1645.0970458984375,2864.970703125,879.8638916015625,12887.04296875,6658.84619140625,3140.443603515625,1216.3155517578125
2018,10,29,0,2018-10-29 00:00:00,11259.51171875,1614.5745849609375,2836.57763671875,876.474853515625,12372.0439453125,6542.2529296875,3062.121337890625,1147.618896484375
2018,10,29,1,2018-10-29 01:00:00,10666.423828125,1548.614501953125,2787.727783203125,831.4229736328125,11857.3037109375,6079.318359375,3028.001708984375,1159.7569580078125
2018,10,29,2,2018-10-29 02:00:00,10160.5166015625,1411.162353515625,2688.30224609375,786.5612182617188,10736.826171875,5412.52734375,2898.375,1008.9197998046876
2018,10,29,3,2018-10-29 03:00:00,9735.01953125,1296.3182373046875,2613.0302734375,748.3206787109375,9787.021484375,5098.3076171875,2650.442138671875,952.9579467773438
2018,10,29,4,2018-10-29 04:00:00,9295.220703125,1174.1221923828125,2561.57568359375,688.7190551757812,9157.7734375,4586.83740234375,2518.280517578125,892.3977661132812
2018,10,29,5,2018-10-29 05:00:00,8902.314453125,1112.848388671875,2547.482177734375,670.2449951171875,8465.7451171875,4374.29638671875,2367.4775390625,851.8673095703125
2018,10,29,6,2018-10-29 06:00:00,8478.994140625,1045.5506591796877,2617.279541015625,622.8567504882812,8107.4267578125,4189.9208984375,2329.989990234375,885.283447265625
2018,10,29,7,2018-10-29 07:00:00,8465.1171875,1059.1783447265623,2626.5595703125,655.7949829101562,8083.19775390625,4139.82568359375,2268.73486328125,872.886474609375
2018,10,29,8,2018-10-29 08:00:00,8612.2548828125,1080.6334228515623,2602.841796875,643.3086547851562,8223.0244140625,4404.78759765625,2312.955810546875,900.5990600585938
2018,10,29,9,2018-10-29 09:00:00,9022.609375,1126.6778564453125,2669.62890625,672.5728759765625,8781.732421875,4636.94482421875,2304.085205078125,936.2378540039062
2018,10,29,10,2018-10-29 10:00:00,9129.40625,1280.29345703125,2733.9990234375,746.178955078125,9363.978515625,4871.59130859375,2500.726318359375,1031.9451904296877
2018,10,29,11,2018-10-29 11:00:00,9520.2587890625,1350.3211669921875,2800.044677734375,793.3247680664062,9909.2783203125,5167.56884765625,2534.5732421875,1086.5064697265623
